id,name,parent
1,"GROUP",
2,"HEADER",1
3,"ATTRIBUTES",1
4,"DATASET",1
5,"NAME",3
6,"DATATYTPE",3
7,"DATASPACE",3
8,"DATA",3
9,"HEADER",4
10,"DATA ARRAY",4
11,"ATTRIBUTES",4
12,"NAME",9
13,"DATATYPE",9
14,"DATASPACE",9
15,"STORAGE LAYOUT",9
16,"NAME",11
17,"DATATYTPE",11
18,"DATASPACE",11
19,"DATA",11
